"user_id","transactions_count","distinct_servers_count","transactions_size_mean","transactions_geodesic_distance_mean","transactions_iat_mean"
5647,206,1,45268,6877,10914
5650,5,1,1564210,0,390221
5672,6144,3005,815,8622,387
5679,16878,8769,4171,8622,69
5686,2,1,3869039,6877,70817
5695,6,1,2994161,0,110367
5707,69,1,635960,0,17679
5708,11491,6277,526,8352,20
5711,2154,1177,675,9223,608
5725,2,1,2590,0,600179
5735,11103,2,231,0,110
5737,20,19,171,7274,3217
5757,11,2,3277,6877,142837
5768,19998,9766,552,8380,55
5778,1,1,78770,6877,2419200
5785,11941,3078,506,10369,181
5788,65,4,106540,1693,33474
5800,2,1,78071,6877,252729
5802,2,1,4212,0,149684
5803,5,1,707,0,381031
5809,1,1,3566,8401,2419200
5817,13709,7361,2956,8617,36
5822,11,2,16389,6877,164162
5823,3590,1740,1325,8220,646
5829,32,19,3252,7471,68580
5841,766,96,23759,6747,2945
5858,190,109,610,7762,7136
5862,3,1,2502,6877,215
5872,10,5,301595,2751,203109
5907,4,2,853902,1719,261213
5914,1,1,6653523,0,2419200
5915,9,1,2903534,6877,211226
5916,1,1,507,0,2419200
5925,12,1,534,0,189472
5935,8490,5129,2181,8647,242
5943,4628,1803,742,8467,454
5944,9,1,2414323,6877,176826
5964,20903,10551,487,8584,109
5971,1,1,79813,0,2419200
5977,1,1,381,0,2419200
6002,3,2,75818,0,346599
6006,1,1,3230,6877,2419200
6019,1,1,287289,6877,2419200
6028,6,4,188064,2292,121853
6032,2,2,20566,0,685751
6033,2,2,58868,3439,314330
6041,8855,3796,854,8560,271
6045,3,1,486,0,66
6055,11198,6589,1267,8686,45
6062,1,1,12014,0,2419200
6087,1,1,10820,0,2419200
6093,1,1,574510,6877,2419200
6095,2,1,76972,0,541789
6097,2,2,12728,3439,267786
6099,23978,7820,913,8223,26
6114,1,1,1266,0,2419200
6127,6,1,68074,6877,291278
6132,24,3,753128,6877,76891
6152,1685,1073,1048,8521,1393
6153,1,1,58110,0,2419200
6177,6,3,372170,2292,171975
6180,736,115,344,6879,36
6182,2,2,192,10479,27755
6185,3,1,427,6877,304
6190,5,5,444,8318,2159
6206,415,85,371,6967,210
6211,140,130,1601,8524,14505
6225,1,1,430,6877,2419200
6235,1,1,3521,0,2419200
6236,311,209,747,8436,87
6252,3,2,234,4585,136348
6280,4,3,537460,1719,415382
6282,4,1,6011,6877,329140
6297,1,1,2708860,0,2419200
6308,17,2,1104338,0,137429
6310,4,1,758351,6877,319789
6312,1,1,12569202,6877,2419200
6313,3,1,8401,0,409985
6318,3,1,3024479,6877,585664
6320,29,28,834,8667,482
6324,5,2,484154,7298,303406
6332,1,1,584585,0,2419200
6333,2,1,352841,0,594614
6407,9,1,1550617,6877,231569
6420,2,2,2595,0,39252
6429,4,4,277,6877,150133
6441,15,3,4176,5043,136233
6449,3,1,2087,6877,4407
6451,301,1,312290,6877,6580
6463,1612,1199,3520,8687,937
6469,2,1,168275,0,367833
6473,1,1,6581,6877,2419200
6475,12,2,1462057,1146,38409
6479,2,1,155226,0,475439
6482,2,2,1310345,6877,923513
6494,25732,12490,549,8616,76
6516,6,1,783,6877,6770
6529,1,1,4103863,0,2419200
6538,1,1,12394,0,2419200
6542,4,1,2801,0,375673
6547,1,1,4235961,6877,2419200
6583,34,4,6084,6877,50800
6584,2,1,13265,6877,61502
6585,7396,4379,507,8622,13
6586,2,1,493275,6877,423
6594,145,143,8454,9582,37
6621,7,1,2957301,0,296180
6624,2,1,143928,0,550850
6625,20231,808,362,6922,69
6627,93,3,155723,6877,23780
6644,11852,4568,792,8586,207
6651,172,44,567,6951,14556
6654,13247,7315,4411,8593,179
6659,626,516,2077,8344,1101
6664,2,1,214153,0,560113
6688,4,1,371140,6877,498770
6694,32,1,957743,0,60620
6695,3,1,580844,0,430758
6705,58,1,1057,6877,20715
6717,10225,2639,374,7580,160
6718,9109,5310,3150,8570,74
6719,10,4,1632,7233,76046
6725,1,1,1343,6877,2419200
6736,1,1,520,0,2419200
6742,6,1,110104,6877,244583
6766,3,2,43138,6877,87933
6769,1,1,8291,6877,2419200
6792,7,1,3084,6877,12257
6799,3,3,115874,6877,487539
6803,30320,14036,1966,8537,78
6826,1,1,1301396,6877,2419200
6841,3,1,531964,0,499661
6849,1,1,13196919,6877,2419200
6857,6,1,6439359,6877,324194
6876,3,2,146360,6877,355258
6887,15,2,460,6877,33058
6898,19,1,16445045,6877,103379
6904,10,1,630674,9122,199213
6906,26462,12880,4134,8630,78
6917,5731,359,12746,6972,378
6943,23,23,716,8845,7
6944,11,1,40267,6877,63885
6960,1,1,2839,0,2419200
6963,23137,11008,6331,8546,90
6973,52,1,576548,0,34976
6983,1,1,815409,6877,2419200
6994,1,1,25493,6877,2419200
7002,1,1,17809,0,2419200
7024,21,2,76207,0,66437
7031,1,1,62391,6877,2419200
7065,1,1,10246,6877,2419200
7066,6815,4216,4783,8603,328
7068,16,3,783110,0,130213
7074,9836,4919,537,8302,247
7075,9963,5929,3639,8425,142
7088,35,4,162090,6681,8384
7102,608,459,1388,9321,537
7109,3,2,75280,0,12043
7117,11,4,153003,5001,197009
7119,10,1,5699509,6877,232652
7120,1,1,388,17003,2419200
7121,2,1,116841,6877,514718
7122,2,2,317993,6877,221261
7124,9,1,146146,6877,209250
7134,874,123,364,6886,37
7135,79,4,172,7080,31450
7153,1,1,277,6877,2419200
7154,4,3,626069,1719,322067
7157,32,2,510619,6877,66148
7158,6,1,983162,6877,348563
7160,3,1,10914,6877,435109
7167,6717,4507,1853,8708,6
7170,1,1,3077,0,2419200
7177,1,1,2043,6877,2419200
7179,62495,26278,625,8294,38
7183,2,1,19505827,6877,321798
7192,11266,7297,1004,8741,11
7221,2,1,427,17003,54015
7244,14,5,3402,6877,92276
7249,1,1,145551,6877,2419200
7253,4,1,311977,0,20359
7259,3,1,1437,6877,666
7260,24549,12124,3282,8567,93
7271,8,7,30081,3439,303775
7273,431,361,716,8888,396
7281,11046,6322,3367,8624,216
7285,14,1,463,0,4655
7287,9,1,224969,6877,227845
7288,13115,7120,3724,8545,68
7296,659,289,962,7595,277
7305,4,4,341,7438,813
7306,14,2,58010,6877,88272
7336,847,111,1262,10351,2438
7343,1,1,54678,6877,2419200
7351,21652,10821,1338,8515,74
7368,1,1,21746,6877,2419200
7378,9,3,24095,3056,193414
7379,162,1,570424,0,13421
7380,205,1,34550,6877,10702
7388,1,1,40614,6877,2419200
7399,3600,221,341,7017,617
7428,1,1,220141,0,2419200
7440,1,1,2719350,6877,2419200
7441,92,83,1377,8640,85
7448,8,1,196375,6877,269728
7469,1,1,10138,0,2419200
7472,5,2,2059498,0,239506
7493,599,19,678,6877,4088
7501,7,3,2024411,6877,117144
7510,2,1,1572580,6877,730151
7535,12,8,171,10479,57121
7548,1,1,749892,6877,2419200
7564,1,1,390,6877,2419200
7571,6,1,49588,6877,260143
7584,6,2,6354,6877,97183
7585,2,1,1744625,0,260887
7592,1,1,31807,0,2419200
7600,8,1,307259,0,194065
7610,3,1,11565,0,549286
7616,1222,524,2250,2891,911
7626,1,1,28675,6877,2419200
7635,2,1,28594,6877,20424
7640,402,332,382,7948,553
7655,1,1,52337,6877,2419200
7658,1,1,4935,6877,2419200
7660,10160,6120,1816,8557,34
7678,9465,3154,853,8861,248
7681,1823,1408,831,8506,3
7702,2,1,4474868,6877,566317
7715,139,1,723,0,14986
7719,8,2,2347182,6877,254680
7720,1,1,76892,6877,2419200
7726,1,1,567,0,2419200
7727,2085,1455,572,8589,976
7736,103,24,1274,13388,6927
7744,4,4,168,8678,325916
7747,258,235,3526,8722,420
7758,1,1,32958,0,2419200
7784,4,1,106423,0,319230
7804,1,1,2162,0,2419200
7808,124,2,1177177,6877,16272
7811,6,1,515,0,598
